Local time,Open,High,Low,Close,Volume
18.10.2024 10:22:42.732 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 10:23:41.090 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 10:27:01.107 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 11:05:13.780 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 11:29:20.796 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 11:31:57.859 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 11:56:01.766 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 11:56:57.332 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:23:10.937 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:26:09.798 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:27:10.877 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:28:19.757 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:29:20.447 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:30:20.873 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:31:20.257 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:32:20.406 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:33:20.285 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
18.10.2024 12:34:21.456 GMT+0530,1.0836,1.0836,1.0836,1.0836,0.002
